9	3	-49	23	-40	-81	-860
-89	-79	-8	15	89	31	380
95	-35	-63	49	44	100	1043
-2	41	-86	44	-92	53	-185
42	-87	83	-97	-31	8	-459
73	67	-8	-10	78	-80	174
-68	-57	39	58	-14	-41	-231
94	-22	11	-80	-97	85	-220
-56	32	-32	-49	-100	72	-484
-95	38	84	15	4	-96	-312
77	-61	-84	-21	-66	16	-753
2	23	49	29	-86	66	361
-47	10	-30	76	57	1	546
33	72	40	-82	-81	75	72
-51	-48	20	-3	-83	75	-153
20	11	18	-86	20	83	417
-15	35	37	35	29	-91	-64
8	0	92	100	13	76	1495
-79	5	77	61	-52	-1	152
24	-52	-82	3	22	-100	-988
-72	32	65	54	19	-97	-82
-84	-23	65	-21	-2	14	5
-81	80	25	53	-95	5	-91
-68	61	25	0	40	88	1004
-72	-39	34	2	-96	-53	-1061
-99	23	75	-3	70	100	1277
-40	50	84	-28	7	10	379
-23	-27	-62	-2	93	4	202
-46	-81	38	-34	-20	41	-185
-27	-63	41	14	82	-8	428
-76	-57	75	31	72	44	873
-19	-7	66	13	-46	87	604
-44	14	-44	-69	-21	-53	-1063
-22	-62	62	56	71	-58	319
-95	-61	12	-31	-30	12	-575
-78	76	33	74	35	-85	190
15	43	9	-56	40	-39	-117
-15	91	4	-40	87	17	701
-47	-61	-27	1	-29	-87	-1162
91	-28	-13	83	62	-8	778
89	36	30	-57	99	69	1199
50	-21	69	-49	-61	-26	-479
50	18	-32	7	83	94	1218
2	25	-6	69	16	9	560
46	-6	1	-64	86	-97	-404
-58	-19	-23	9	-59	-7	-622
31	93	-79	67	-12	-47	-40
95	1	-35	-44	-2	59	235
-88	-11	-7	15	-100	-75	-1286
68	-92	30	-42	-61	-74	-1113
0	-1	-25	52	-10	-19	-35
56	-40	45	-29	-19	54	292
-97	40	-65	-16	45	-63	-584
82	63	-12	51	27	-32	499
40	45	-58	87	47	41	988
-92	15	-20	97	21	86	995
74	50	76	-1	-3	77	1119
-58	-21	-51	57	-77	-86	-1161
68	-89	7	78	23	62	860
17	91	97	19	-19	-70	187
61	-85	55	72	85	78	1504
-30	-4	34	-67	-94	5	-799
-54	60	6	30	-58	-17	-220
27	52	-74	57	53	-97	-161
44	-17	-55	-35	66	49	382
-19	36	-25	4	9	23	206
-5	42	85	54	51	-1	1026
-2	-4	-11	26	8	-24	-49
-86	74	82	23	56	77	1369
-41	28	-70	9	29	-47	-387
-94	-44	-31	68	-6	42	155
62	-25	74	32	-16	60	830
