-6	-94	45	74	444
51	-14	19	7	299
78	-81	61	31	810
1	-16	85	92	317
-87	-59	34	43	68
-19	3	45	-74	313
41	-34	76	21	606
82	-28	-21	-30	322
54	47	-54	29	-345
-77	-52	56	76	114
-97	13	-43	57	-663
14	-64	-83	-10	-88
-73	13	92	-74	346
4	-68	42	15	473
16	18	-67	-69	-212
-35	55	-29	-55	-351
-59	-85	-23	79	-101
54	99	-65	91	-732
-36	21	14	51	-215
-4	88	67	24	-68
63	-70	77	61	741
56	65	25	-64	170
-29	56	-74	-4	-664
13	-23	-62	-44	-82
95	61	73	-50	515
-73	15	-26	2	-404
-26	31	-3	25	-258
-94	-49	-61	33	-448
72	100	89	-12	294
-51	-61	-57	-24	-137
60	80	48	8	93
-8	26	1	71	-256
66	99	-18	-89	-101
-71	-80	-82	31	-356
-27	95	28	-100	-112
29	-1	49	51	243
-81	78	39	85	-521
14	-36	-60	-30	-45
-8	-83	75	46	600
